rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
454,Rogerio Dutra Silva,Brazil,BRA,81,63,2017-07-24,-1,0,733
455,Saketh Myneni,India,IND,81,137,2016-09-12,-1,0,438
456,Luca Vanni,Italy,ITA,81,100,2015-05-11,-1,0,560
457,Marko Tepavac,Serbia,SRB,81,174,2016-10-24,-1,0,334
458,Bruno Santanna,Brazil,BRA,81,337,2013-10-07,-1,0,125
459,Lucas Gerch,Germany,GER,81,432,2020-02-10,0,0,81
460,Nicolas Mejia,Colombia,COL,81,404,2019-11-11,0,0,90
461,Louis Wessels,Germany,GER,80,320,2018-11-26,0,0,138
462,Michail Pervolarakis,Cyprus,CYP,80,409,2020-02-10,1,0,82
463,Alen Avidzba,Russian Federation,RUS,80,380,2019-04-29,-1,0,86
464,Mathieu Perchicot,France,FRA,80,409,2019-08-12,0,0,82
465,Ricardo Ojeda Lara,Spain,ESP,79,171,2017-10-09,0,0,316
466,Gijs Brouwer,Netherlands,NED,79,342,2019-08-05,11,3,116
467,Robert Quentin,France,FRA,79,433,2020-02-10,-1,0,79
468,Sidharth Rawat,India,IND,79,430,2019-01-07,-1,0,79
469,Calvin Hemery,France,FRA,78,116,2018-04-30,-1,0,474
470,Makoto Ochi,Japan,JPN,78,343,2019-04-29,-1,0,122
471,David Poljak,Czech Republic,CZE,78,415,2018-10-22,-1,0,92
472,Marek Gengel,Czech Republic,CZE,78,459,2020-08-31,-1,0,78
473,Sho Shimabukuro,Japan,JPN,77,425,2020-02-10,-1,0,77
474,Miljan Zekic,Serbia,SRB,77,188,2016-07-11,2,1,302
475,David Pichler,Austria,AUT,77,390,2017-10-16,-2,0,111
476,Alex Rybakov,United States,USA,76,454,2019-04-01,-2,0,76
477,Evan Hoyt,United Kingdom,GBR,76,319,2019-09-16,-2,0,126
478,Johan Nikles,Switzerland,SUI,76,457,2019-11-11,0,1,76
479,Eduard Esteve Lobato,Spain,ESP,75,353,2018-11-05,0,0,121
480,Gage Brymer,United States,USA,75,444,2020-03-02,0,0,75
481,Blake Mott,Australia,AUS,74,220,2017-06-12,0,0,239
482,Danylo Kalenichenko,Ukraine,UKR,74,439,2020-01-13,0,0,74
483,Yannick Mertens,Belgium,BEL,74,179,2015-08-17,0,0,286
